"HDI","Edu2.FM","Life.Exp","Mean.Edu","GNI","Mat.Mor","Ado.Birth","Parli.F"
"Norway",0.944,1.00723888314374,81.6,12.6,64992,4,7.8,39.6
"Australia",0.935,0.996828752642706,82.4,13,42261,6,12.1,30.5
"Switzerland",0.93,0.98343685300207,83,12.8,56431,6,1.9,28.5
"Denmark",0.923,0.988612836438924,80.2,12.7,44025,5,5.1,38
"Netherlands",0.922,0.969060773480663,81.6,11.9,45435,6,6.2,36.9
"Germany",0.916,0.992783505154639,80.9,13.1,43919,7,3.8,36.9
"Ireland",0.916,1.02417302798982,80.9,12.2,39568,9,8.2,19.9
"United States",0.915,1.00316455696203,79.1,12.9,52947,28,31,19.4
"Canada",0.913,1,82,13,42155,11,14.5,28.2
"New Zealand",0.913,0.99685204616999,81.8,12.5,32689,8,25.3,31.4
"Singapore",0.912,0.914814814814815,83,10.6,76628,6,6,25.3
"Sweden",0.907,0.990836197021764,82.2,12.1,45636,4,6.5,43.6
"United Kingdom",0.907,0.998998998998999,80.7,13.1,39267,8,25.8,23.5
"Iceland",0.899,0.993449781659389,82.6,10.6,35182,4,11.5,41.3
"Korea (Republic of)",0.898,0.864197530864198,81.9,11.9,33890,27,2.2,16.3
"Israel",0.894,0.966781214203895,82.4,12.5,30676,2,7.8,22.5
"Luxembourg",0.892,1,81.7,11.7,58711,11,8.3,28.3
"Japan",0.891,1.01398601398601,83.5,11.5,36927,6,5.4,11.6
"Belgium",0.89,0.934861278648975,80.8,11.3,41187,6,6.7,42.4
"France",0.888,0.9375,82.2,11.1,38056,12,5.7,25.7
"Austria",0.885,1,81.4,10.8,43869,4,4.1,30.3
"Finland",0.883,1,80.8,10.3,38695,4,9.2,42.5
"Slovenia",0.88,0.977551020408163,80.4,11.9,27852,7,0.6,27.7
"Spain",0.876,0.913816689466484,82.6,9.6,32045,4,10.6,38
"Italy",0.873,0.884472049689441,83.1,10.1,33030,4,4,30.1
"Czech Republic",0.87,1.00200601805416,78.6,12.3,26660,5,4.9,18.9
"Greece",0.865,0.888059701492537,80.9,10.3,24524,5,11.9,21
"Estonia",0.861,1,76.8,12.5,25214,11,16.8,19.8
"Cyprus",0.85,0.930232558139535,80.2,11.6,28633,10,5.5,12.5
"Qatar",0.85,1.13050847457627,78.2,9.1,123124,6,9.5,0
"Slovakia",0.844,0.995979899497487,76.3,12.2,25845,7,15.9,18.7
"Poland",0.843,0.928654970760234,77.4,11.8,23177,3,12.2,22.1
"Lithuania",0.839,0.944856839872746,73.3,12.4,24500,11,10.6,23.4
"Malta",0.839,0.877237851662404,80.6,10.3,27930,9,18.2,13
"Saudi Arabia",0.837,0.860597439544808,74.3,8.7,52821,16,10.2,19.9
"Argentina",0.836,0.977430555555555,76.3,9.8,22050,69,54.4,36.8
"United Arab Emirates",0.835,1.19444444444444,77,9.5,60868,8,27.6,17.5
"Chile",0.832,0.959424083769633,81.7,9.8,21290,22,55.3,15.8
"Portugal",0.83,0.989626556016598,80.9,8.2,25757,8,12.6,31.3
"Hungary",0.828,0.991894630192503,75.2,11.6,22916,14,12.1,10.1
"Bahrain",0.824,1.10311284046693,76.6,9.4,38599,22,13.8,15
"Latvia",0.819,0.998989898989899,74.2,11.5,22281,13,13.5,18
"Croatia",0.818,0.908119658119658,77.3,11,19409,13,12.7,25.8
"Kuwait",0.816,0.987566607460036,74.4,7.2,83961,14,14.5,1.5
"Montenegro",0.802,0.889123548046463,76.2,11.2,14558,7,15.2,17.3
"Belarus",0.798,0.943600867678959,71.3,12,16676,1,20.6,30.1
"Russian Federation",0.798,0.968648648648649,70.1,12,22352,24,25.7,14.5
"Oman",0.793,0.82661996497373,76.8,8,34858,11,10.6,9.6
"Romania",0.793,0.935869565217391,74.7,10.8,18108,33,31,12
"Uruguay",0.793,1.08151093439364,77.2,8.5,19283,14,58.3,11.5
"Bahamas",0.79,1.04109589041096,75.4,10.9,21336,37,28.5,16.7
"Kazakhstan",0.788,0.964574898785425,69.4,11.4,20867,26,29.9,20.1
"Barbados",0.785,1.02052451539339,75.6,10.5,12488,52,48.4,19.6
"Bulgaria",0.782,0.971786833855799,74.2,10.6,15596,5,35.9,20.4
"Panama",0.78,1.08216432865731,77.6,9.3,18192,85,78.5,19.3
"Malaysia",0.779,0.91304347826087,74.7,10,22762,29,5.7,14.2
"Mauritius",0.777,0.851724137931034,74.4,8.5,17470,73,30.9,11.6
"Trinidad and Tobago",0.772,0.980295566502463,70.4,10.9,26090,84,34.8,24.7
"Serbia",0.771,0.793478260869565,74.9,10.5,12190,16,16.9,34
"Cuba",0.769,0.942893401015228,79.4,11.5,7301,80,43.1,48.9
"Lebanon",0.769,0.956678700361011,79.3,7.9,16509,16,12,3.1
"Costa Rica",0.766,1.0039603960396,79.4,8.4,13413,38,60.8,33.3
"Iran (Islamic Republic of)",0.766,0.920118343195266,75.4,8.2,15440,23,31.6,3.1
"Venezuela (Bolivarian Republic of)",0.762,1.11417322834646,74.2,8.9,16159,110,83.2,17
"Turkey",0.761,0.65,75.3,7.6,18677,20,30.9,14.4
"Sri Lanka",0.757,0.951570680628272,74.9,10.8,9779,29,16.9,5.8
"Mexico",0.756,0.919141914191419,76.8,8.5,16056,49,63.4,37.1
"Brazil",0.755,1.04198473282443,74.5,7.7,15175,69,70.8,9.6
"Georgia",0.754,0.967637540453074,74.9,12.1,7164,41,46.8,11.3
"Azerbaijan",0.751,0.962012320328542,70.8,11.2,16428,26,40,15.6
"Jordan",0.748,0.885350318471338,74,9.9,11365,50,26.5,11.6
"The former Yugoslav Republic of Macedonia",0.747,0.723021582733813,75.4,9.3,11780,7,18.3,33.3
"Ukraine",0.747,0.956204379562044,71,11.3,8178,23,25.7,11.8
"Algeria",0.736,0.861290322580645,74.8,7.6,13054,89,10,25.7
"Peru",0.734,0.851739788199697,74.6,9,11015,89,50.7,22.3
"Albania",0.733,0.930602957906712,77.8,9.3,9943,21,15.3,20.7
"Armenia",0.733,0.989473684210526,74.7,10.9,8124,29,27.1,10.7
"Bosnia and Herzegovina",0.733,0.643266475644699,76.5,8.3,9638,8,15.1,19.3
"Ecuador",0.732,1.01776649746193,75.9,7.6,10605,87,77,41.6
"China",0.727,0.816411682892907,75.8,7.5,12547,32,8.6,23.6
"Fiji",0.727,0.995348837209302,70,9.9,7493,59,42.8,14
"Mongolia",0.727,1.01426872770511,69.4,9.3,10729,68,18.7,14.9
"Thailand",0.726,0.875,74.4,7.3,13323,26,41,6.1
"Libya",0.724,1.32458233890215,71.6,7.3,14911,15,2.5,16
"Tunisia",0.721,0.711496746203904,74.8,6.8,10404,46,4.6,31.3
"Colombia",0.72,1.02338129496403,74,7.3,12040,83,68.5,20.9
"Jamaica",0.719,1.05413105413105,75.7,9.7,7415,80,70.1,16.7
"Tonga",0.717,0.990939977349943,72.8,10.7,5069,120,18.1,0
"Belize",0.715,1.00791556728232,70,10.5,7614,45,71.4,13.3
"Dominican Republic",0.715,1.04708097928437,73.5,7.6,11883,100,99.6,19.1
"Suriname",0.714,0.94692144373673,71.1,7.7,15617,130,35.2,11.8
"Maldives",0.706,0.834862385321101,76.8,5.8,12328,31,4.2,5.9
"Samoa",0.702,1.07166666666667,73.4,10.3,5327,58,28.3,6.1
"Botswana",0.698,0.944801026957638,64.5,8.9,16646,170,44.2,9.5
"Moldova (Republic of)",0.693,0.968944099378882,71.6,11.2,5223,21,29.3,20.8
"Egypt",0.69,0.724422442244224,71.1,6.6,10512,45,43,2.2
"Gabon",0.684,1.49307479224377,64.4,7.8,16367,240,103,16.2
"Indonesia",0.684,0.810975609756098,68.9,7.6,9788,190,48.3,17.1
"Paraguay",0.679,0.855813953488372,72.9,7.7,7643,110,67,16.8
"Philippines",0.668,1.03453689167975,68.2,8.9,7915,120,46.8,27.1
"El Salvador",0.666,0.844036697247706,73,6.5,7349,69,76,27.4
"South Africa",0.666,0.957839262187088,57.4,9.9,12122,140,50.9,40.7
"Viet Nam",0.666,0.834269662921348,75.8,7.5,5092,49,29,24.3
"Bolivia (Plurinational State of)",0.662,0.805414551607445,68.3,8.2,5760,200,71.9,51.8
"Kyrgyzstan",0.655,0.976239669421488,70.6,10.6,3044,75,29.3,23.3
"Iraq",0.654,0.553784860557769,69.4,6.4,14003,67,68.7,26.5
"Guyana",0.636,1.26150627615063,66.4,8.5,6522,250,88.5,31.3
"Nicaragua",0.631,1.02872062663185,74.9,6,4457,100,100.8,39.1
